CustomerID,FirstName,LastName,Gender,Email,Street,City,StateID,StateName,ZipCode
1,Sharon,Adams,Female,sharon.adams@live.com,37474 Collins Stravenue Suite 136,North Arielfort,25,Missouri,12767
2,Amanda,Miller,Female,amanda.miller@gmail.com,446 Michael Causeway,South Carol,39,Rhode Island,37356
3,Patrick,Barrera,Male,patrick.barrera@yahoo.com,6921 Boyd Cliff Suite 585,Lake Adam,50,Wyoming,43059
4,Julie,Brooks,Female,julie.brooks@hotmail.com,466 Holly Curve,West Patrick,36,Oklahoma,34456
5,Heather,Leonard,Female,heather.leonard@gmail.com,849 Charles Way Apt. 483,Lake Ian,14,Indiana,91937
6,Timothy,Mathews,Male,timothy.mathews@hotmail.com,25601 Collins Terrace,North Carriefort,28,Nevada,88002
7,Tracy,Blake,Female,tracy.blake@hotmail.com,6107 Jennings Course Suite 537,West Nicholas,8,Delaware,19075
8,Sherry,Moore,Female,sherry.moore@aol.com,891 Franklin Creek,Lake Russellview,3,Arizona,27592
9,Thomas,Murphy,Male,thomas.murphy@gmail.com,33215 Joshua Plain,Port Danielshire,15,Iowa,96232
10,Jacqueline,Smith,Female,jacqueline.smith@yahoo.com,9161 Pamela Motorway Suite 344,New David,14,Indiana,83405
11,Karen,Sanchez,Female,karen.sanchez@gmail.com,275 Heather Ports,Lewisstad,38,Pennsylvania,23159
12,Meredith,Mooney,Female,meredith.mooney@aol.com,79357 Martinez Loop Suite 274,Port Lindsay,39,Rhode Island,28963
13,Christine,Lam,Female,christine.lam@live.com,8281 Jose Club Apt. 485,Batesmouth,41,South Dakota,30246
14,Justin,Brown,Male,justin.brown@hotmail.com,61401 Brandon Islands Apt. 294,Higginsside,37,Oregon,01034
15,Troy,Marquez,Male,troy.marquez@gmail.com,7923 Dana Keys,Peterchester,5,California,21394
16,Laura,Williams,Female,laura.williams@live.com,65599 Grimes Plaza,East Keithbury,47,Washington,81439
17,Nancy,Harris,Female,nancy.harris@gmail.com,128 Thompson Trail Suite 262,New Stacey,1,Alabama,12039
18,Jason,Hahn,Male,jason.hahn@aol.com,2136 Gray Bridge,New Lindseyside,38,Pennsylvania,37082
19,Alan,Jackson,Male,alan.jackson@aol.com,575 Laura Streets,Garybury,12,Idaho,32774
20,Michaela,Smith,Female,michaela.smith@gmail.com,7866 Shaffer Locks,West Juliaborough,20,Maryland,30163
21,Tracy,Powell,Male,tracy.powell@hotmail.com,2516 Anna Coves Suite 221,Gibsonborough,50,Wyoming,95273
22,Selena,Stevens,Female,selena.stevens@gmail.com,85444 Sarah Trail,Mitchellport,42,Tennessee,75357
23,Marcus,Williamson,Male,marcus.williamson@yahoo.com,840 Thompson Flat,Christinetown,46,Virginia,44193
24,Kimberly,Williams,Female,kimberly.williams@yahoo.com,3402 Jessica Ville,Ryanville,40,South Carolina,63306
25,Timothy,Johnson,Male,timothy.johnson@aol.com,87737 Scott Drive,South Leonard,18,Louisiana,14580
26,James,Bryant,Male,james.bryant@live.com,514 Corey Lodge Suite 072,Woodchester,49,Wisconsin,34514
27,Rhonda,Johnson,Female,rhonda.johnson@yahoo.com,4341 Christopher Spurs Apt. 021,Davistown,18,Louisiana,26711
28,Wayne,Brooks,Male,wayne.brooks@hotmail.com,7621 Rebecca Mill,Port Jesus,41,South Dakota,56827
29,David,Gould,Male,david.gould@yahoo.com,529 Gary Oval,Barkerside,5,California,31313
30,Holly,Warren,Female,holly.warren@yahoo.com,8927 Ryan Shore,West Dannymouth,48,West Virginia,50836
